TIMESTAMP_MIDDLE,BADM_HEIGHTC,CH4,FH2O,FCH4,FN2O,FN2O_L3.1_L3.2_QCF,USTAR,TA_1_1_1,SW_IN_1_1_1,RH_1_1_1,PPFD_IN_1_1_1,FLAG_L3.2_FN2O_L3.1_QCF
8/31/2022 20:15,0.142976,2243.11,-0.0785369,4.27311,0.437364,,0.0441739,16.1147,0,85.8088,0,2
8/31/2022 20:45,0.142976,2237.03,0.0309051,-100.039,-0.716481,,0.148321,15.7386,0,87.3513,0,2
8/31/2022 21:15,0.142976,2342.86,0.300849,-7.43397,-1.56953,,0.169025,15.9545,0,86.5576,0,2
8/31/2022 21:45,0.142976,2328.22,-0.0727371,-21.2692,0.130573,,0.0886718,15.554,0,88.2595,0,2
8/31/2022 22:15,0.142976,2290.77,0.067345,26.0588,0.963887,0.8965314000000001,0.0774769,14.6503,0,91.6888,0,1
8/31/2022 22:45,0.142976,2268.96,0.290676,-6.78185,0.321869,0.3549583,0.108187,14.7024,0,91.8387,0,1
8/31/2022 23:15,0.142976,2284.14,-0.0134286,4.95642,1.03232,1.0832290999999998,0.105505,14.9358,0,90.5905,0,1
8/31/2022 23:45,0.142976,2294.14,0.0500204,-11.3698,0.528157,0.4561197,0.0985865,14.8724,0,92.008,0,1
9/1/2022 0:15,0.142976,2318.29,-0.0443817,10.6964,1.34856,1.3106824,0.0864407,15.1488,0,92.1958,0,0
9/1/2022 0:45,0.142976,2290.77,0.0481036,104.709,0.464971,0.4381933,0.0526921,15.1223,0,92.4756,0,1
9/1/2022 1:15,0.142976,2315.76,-0.0996546,5.34713,0.751742,0.8260307,0.137865,14.3191,0,95.7148,0,1
9/1/2022 1:45,0.142976,2373.97,0.390787,-169.807,-1.55036,,0.124214,14.6888,0,95.698,0,2
9/1/2022 2:15,0.142976,2210,-0.288101,16.9314,-0.476109,-0.5420207,0.196958,15.1024,0,94.5538,0,1
9/1/2022 2:45,0.142976,2217.36,-0.234229,-52.5408,0.555775,0.5982562,0.197644,15.0337,0,93.574,0,1
9/1/2022 3:15,0.142976,2210.78,-0.170622,13.2023,0.908477,0.90041814,0.0916429,14.1528,0,95.8121,0,1
9/1/2022 3:45,0.142976,2234.46,-0.169109,-15.5257,-0.705106,-0.6484871,0.104741,13.6043,0,96.9068,0,1
9/1/2022 4:15,0.142976,2238.27,0.110011,11.6663,0.500615,0.50340755,0.10036,13.4983,0,96.7978,0,1
9/1/2022 4:45,0.142976,2289.45,0.187162,-15.315,-2.25949,-2.2444252,0.0848334,13.2011,0,96.7321,0,1
9/1/2022 5:15,0.142976,2322.13,0.599211,48.1542,-0.445891,,0.120577,12.8992,0,97.4273,0,2
9/1/2022 5:45,0.142976,2255.7,0.259803,-96.9329,-0.859196,-1.033505,0.204782,13.5812,1.16648,95.9308,1.56628,1
